qst_deliver_message|Доставить сообщение {s13}
qst_deliver_message_to_enemy_lord|Доставить сообщение {s13}
qst_raise_troops|Обучить {reg1} человек до {s14}
qst_escort_lady|Проводить {s13} в {s14}
qst_deal_with_bandits_at_lords_village|Спасти деревню {s15} от бандитов
qst_collect_taxes|Собрать налоги в {s3}
qst_hunt_down_fugitive|Выследить {s4}
qst_kill_local_merchant|Убить торговца из {s3}
qst_bring_back_runaway_serfs|Поймать беглых крепостных
qst_follow_spy|Проследить за шпионом
qst_capture_enemy_hero|Захватить лорда {s13}.
qst_lend_companion|Оставить {s3} с {s9}
qst_collect_debt|Забрать деньги, которые {s3} задолжал {s9}
qst_incriminate_loyal_commander|Оклеветать {s16} из {s13}.
qst_meet_spy_in_enemy_town|Встретиться со шпионом {s13}
qst_capture_prisoners|Захватить в плен {reg1} из числа {s3}
qst_lend_surgeon|Отдать вашего хирурга {s3} {s1}
qst_follow_army|Следовать за армией {s9}
qst_report_to_army|Главнокомандующий, {s13}, ждет Вашего доклада
qst_deliver_cattle_to_army|Доставить скот в количестве {reg3} {s13}
qst_join_siege_with_army|Принять участие в осаде {s14}
qst_screen_army|Прикрыть продвижение армии {s13}
qst_scout_waypoints|Обследовать {s13}, {s14} и {s15}
qst_rescue_lord_by_replace|{s13} должен быть освобожден из {s14}
qst_deliver_message_to_prisoner_lord|{s13} просит передать сообщение в {s14}
qst_duel_for_lady|{s13} должен быть вызван на поединок чести
qst_duel_courtship_rival|{s13} должен быть вызван на поединок чести (необязательно)
qst_duel_avenge_insult|{s13} должен быть вызван на поединок чести
qst_move_cattle_herd|Отвести скот в {s13}
qst_escort_merchant_caravan|Сопроводить торговый караван до {s8}
qst_deliver_wine|Доставить {reg5} шт. {s6} в {s4}. 
qst_troublesome_bandits|Выследить назойливых бандитов
qst_kidnapped_girl|Спасти девушку от бандитов
qst_persuade_lords_to_make_peace|Удостовериться, что два правителя не возражают против мирного соглашения
qst_deal_with_looters|Разобраться с ворами
qst_deal_with_night_bandits|Разобраться с ночными бандитами
qst_deliver_grain|Доставить пшеницу в {s3}
qst_deliver_cattle|Доставить скот в количестве {reg5} в {s3}
qst_train_peasants_against_bandits|Подготовить крестьян из {s13} к бою с бандитами.
qst_eliminate_bandits_infesting_village|Спасти деревню {s7} от напавших бандитов
qst_visit_lady|Посетить даму
qst_formal_marriage_proposal|Сделать официальное предложение о браке
qst_obtain_liege_blessing|Сделать официальное предложение о браке
qst_wed_betrothed|Сыграть свадьбу
qst_wed_betrothed_female|Сыграть свадьбу
qst_join_faction|{s1} ждет Вашей клятвы верности
qst_rebel_against_kingdom|{s13} нуждается в вашей помощи, чтобы заявить право на престол {s14}
qst_consult_with_minister|Поговорить с советником
qst_organize_feast|Закатить пир
qst_resolve_dispute|Разрешить спор
qst_offer_gift|Доставить дар
qst_denounce_lord|Обвинить повелителя
qst_intrigue_against_lord|Устроить заговор против повелителя
qst_track_down_bandits|Выследить бандитов
qst_track_down_provocateurs|Выследить провокаторов
qst_retaliate_for_border_incident|Отомстить за пограничную стычку
qst_raid_caravan_to_start_war|Разграбить караваны {reg13} шт., которыми владеет {s13}
qst_cause_provocation|Натравить одно государство на другое
qst_rescue_prisoner|Спасти или выкупить пленника
qst_destroy_bandit_lair|Уничтожить логово бандитов
qst_collect_men|Набрать пять воинов в отряд
qst_learn_where_merchant_brother_is|Узнать, где держат заложников
qst_save_relative_of_merchant|Напасть на логово бандитов
qst_save_town_from_bandits|Спасти город от бандитов
qst_quests_end|Задание выполнено
